quantized_model,original_perplexity,quantized_perplexity,ratio
Nemotron-3-Nano-4B-BF16-quantized-poc,3.853,2317.615,601.558
Nemotron-3-Nano-4B-BF16-sequential-poc,3.853,11.409,2.961
Nemotron-3-Nano-4B-BF16-sequential-poc-10,3.853,52.056,13.510
Nemotron-3-Nano-4B-BF16-sequential-salient-5,3.853,6.823,1.771
Nemotron-3-Nano-4B-BF16-sequential-salient-10,3.853,19.586,5.083
Nemotron-3-Nano-4B-BF16-sequential-salient-20,3.853,45.862,11.903
Nemotron-3-Nano-4B-BF16-sequential-salient-42,3.853,179.079,46.478
Nemotron-3-Nano-4B-BF16-sequential-salient10-42,3.853,18.281,4.745
lightning30b-moe-block1-batched-poc,3.101,3.119,1.006
nano4b-ternary-nosalient-42,3.864,2622.394,678.600
nano4b-ternary-salient3-42,3.864,442.782,114.579
nano4b-ternary-skipattn-42,3.864,4413.017,1141.961
nano4b-ternary-skipmamba-42,3.864,75.774,19.608
nano4b-ternary-salient10-42,3.864,34.762,8.995
nano4b-ternary-skipmambadown-42,3.864,36.117,9.346
nano4b-ternary-norot-final,3.864,48.020,12.426
nano4b-mamba-q8,3.864,49.551,12.822
nano4b-mamba-q4,3.864,54.858,14.196
nano4b-q8-downternary,3.864,111.372,28.820
nano4b-q8-all,3.864,49.238,12.741
